Plate,Repeat,Well,Type,Time,ANTS bottom (Counts)
1,1,F03,M,00:00:57.32,254605
1,2,F03,M,00:02:10.48,254411
1,3,F03,M,00:03:23.63,253908
1,4,F03,M,00:04:36.79,253425
1,5,F03,M,00:05:49.97,253830
1,6,F03,M,00:07:03.15,254247
1,7,F03,M,00:08:16.30,253226
1,8,F03,M,00:09:29.46,254256
1,9,F03,M,00:10:42.64,253846
1,10,F03,M,00:11:55.81,253598
1,1,F04,M,00:00:57.83,255031
1,2,F04,M,00:02:10.99,253598
1,3,F04,M,00:03:24.15,254268
1,4,F04,M,00:04:37.30,253835
1,5,F04,M,00:05:50.48,254123
1,6,F04,M,00:07:03.66,254636
1,7,F04,M,00:08:16.82,253874
1,8,F04,M,00:09:29.97,253705
1,9,F04,M,00:10:43.16,254379
1,10,F04,M,00:11:56.32,254535
1,1,F05,M,00:00:58.35,253519
1,2,F05,M,00:02:11.51,253503
1,3,F05,M,00:03:24.66,253783
1,4,F05,M,00:04:37.82,254053
1,5,F05,M,00:05:51.00,253998
1,6,F05,M,00:07:04.18,252560
1,7,F05,M,00:08:17.33,253239
1,8,F05,M,00:09:30.49,252856
1,9,F05,M,00:10:43.67,252363
1,10,F05,M,00:11:56.84,254303
1,1,F06,M,00:00:58.86,253419
1,2,F06,M,00:02:12.02,253401
1,3,F06,M,00:03:25.18,253165
1,4,F06,M,00:04:38.33,253638
1,5,F06,M,00:05:51.51,252837
1,6,F06,M,00:07:04.69,253208
1,7,F06,M,00:08:17.85,252302
1,8,F06,M,00:09:31.00,253855
1,9,F06,M,00:10:44.19,253063
1,10,F06,M,00:11:57.35,252776
1,1,F07,M,00:00:59.38,253721
1,2,F07,M,00:02:12.54,253049
1,3,F07,M,00:03:25.69,253740
1,4,F07,M,00:04:38.85,252733
1,5,F07,M,00:05:52.03,253262
1,6,F07,M,00:07:05.21,254179
1,7,F07,M,00:08:18.36,253114
1,8,F07,M,00:09:31.52,253961
1,9,F07,M,00:10:44.70,254279
1,10,F07,M,00:11:57.87,254274
1,1,F08,M,00:00:59.89,254284
1,2,F08,M,00:02:13.05,254925
1,3,F08,M,00:03:26.21,255418
1,4,F08,M,00:04:39.36,255317
1,5,F08,M,00:05:52.54,255357
1,6,F08,M,00:07:05.72,255460
1,7,F08,M,00:08:18.88,255006
1,8,F08,M,00:09:32.03,254738
1,9,F08,M,00:10:45.22,255765
1,10,F08,M,00:11:58.38,255539
1,1,F09,M,00:01:00.41,253329
1,2,F09,M,00:02:13.57,252836
1,3,F09,M,00:03:26.72,254037
1,4,F09,M,00:04:39.88,253699
1,5,F09,M,00:05:53.06,252898
1,6,F09,M,00:07:06.24,252924
1,7,F09,M,00:08:19.39,252767
1,8,F09,M,00:09:32.55,253240
1,9,F09,M,00:10:45.73,252904
